stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,stop_timezone,wheelchair_boarding,stp_has_shelter
10813,10813,"Market St & Pearl St (MVP Arena)",,42.647697,-73.754579,0,https://www.cdta.org/schedules-stop-detail?stop_id=10813,0,America/New_York,1,0
10817,10817,"84 Holland Ave",,42.64997,-73.77507,0,https://www.cdta.org/schedules-stop-detail?stop_id=10817,0,America/New_York,1,1
10828,10828,"S. Manning Blvd & Keeler Dr",,42.65083,-73.80867,0,https://www.cdta.org/schedules-stop-detail?stop_id=10828,0,America/New_York,1,0
10829,10829,"S. Manning Blvd & Arthur Dr",,42.65248,-73.80711,0,https://www.cdta.org/schedules-stop-detail?stop_id=10829,0,America/New_York,1,0
10830,10830,"319 S. Manning Blvd(St. Peter's Main Entrance)",,42.65509,-73.80579,0,https://www.cdta.org/schedules-stop-detail?stop_id=10830,0,America/New_York,1,0
10831,10831,"317 S. Manning Blvd - St. Peter's Cutout",,42.656711,-73.804574,0,https://www.cdta.org/schedules-stop-detail?stop_id=10831,0,America/New_York,1,1
10832,10832,"319 S. Allen St (The Raise)",,42.65717,-73.80193,0,https://www.cdta.org/schedules-stop-detail?stop_id=10832,0,America/New_York,1,1
10833,10833,"S. Allen St & Bower St",,42.660681,-73.79823,0,https://www.cdta.org/schedules-stop-detail?stop_id=10833,0,America/New_York,1,0
10834,10834,"S. Allen St & Cortland St",,42.66144,-73.79738,0,https://www.cdta.org/schedules-stop-detail?stop_id=10834,0,America/New_York,1,0
10837,10837,"S. Allen St & Madison Ave",,42.66629,-73.79222,0,https://www.cdta.org/schedules-stop-detail?stop_id=10837,0,America/New_York,1,0
10841,10841,"Watervliet Ave & Hunter Ave",,42.67569,-73.78311,0,https://www.cdta.org/schedules-stop-detail?stop_id=10841,0,America/New_York,1,0
10842,10842,"N. Allen St & Western Ave",,42.66672,-73.79187,0,https://www.cdta.org/schedules-stop-detail?stop_id=10842,0,America/New_York,1,0
10843,10843,"8 S. Allen St",,42.66595,-73.79270,0,https://www.cdta.org/schedules-stop-detail?stop_id=10843,0,America/New_York,1,0
10849,10849,"NY State Museum",,42.648778,-73.761218,0,https://www.cdta.org/schedules-stop-detail?stop_id=10849,0,America/New_York,1,0
10853,10853,"Albany Shaker Rd & Green Meadows Ln",,42.69820,-73.76940,0,https://www.cdta.org/schedules-stop-detail?stop_id=10853,0,America/New_York,1,0
10855,10855,"Albany Shaker Rd & Quarry Dr",,42.70468,-73.77599,0,https://www.cdta.org/schedules-stop-detail?stop_id=10855,0,America/New_York,1,0
10856,10856,"629 Albany Shaker Rd (William K. Sanford Library)",,42.725362,-73.792377,0,https://www.cdta.org/schedules-stop-detail?stop_id=10856,0,America/New_York,1,0
10857,10857,"Albany Shaker Rd & Shaker El",,42.71079,-73.78082,0,https://www.cdta.org/schedules-stop-detail?stop_id=10857,0,America/New_York,1,0
10865,10865,"Broadway & Wilson St",,42.656166,-73.748654,0,https://www.cdta.org/schedules-stop-detail?stop_id=10865,0,America/New_York,1,0
10866,10866,"Broadway & Orange St / Van Tromp St",,42.65271,-73.74928,0,https://www.cdta.org/schedules-stop-detail?stop_id=10866,0,America/New_York,1,0
10868,10868,"Empire State Plaza Concourse",,42.65079,-73.76139,0,https://www.cdta.org/schedules-stop-detail?stop_id=10868,0,America/New_York,1,0
10871,10871,"Columbia Tpke & Academy St",,42.63712,-73.74799,0,https://www.cdta.org/schedules-stop-detail?stop_id=10871,0,America/New_York,1,0
10872,10872,"Columbia Tpke &  Aiken Ave",,42.635311,-73.746913,0,https://www.cdta.org/schedules-stop-detail?stop_id=10872,0,America/New_York,1,0
10875,10875,"102 Columbia Tpke (Regeneron Pharmaceuticals)",,42.624352,-73.739831,0,https://www.cdta.org/schedules-stop-detail?stop_id=10875,0,America/New_York,1,0
10876,10876,"Columbia Tpke & Riverview Terr",,42.62297,-73.73845,0,https://www.cdta.org/schedules-stop-detail?stop_id=10876,0,America/New_York,1,0
10877,10877,"Columbia Tpke & Hillview Ave",,42.62232,-73.73768,0,https://www.cdta.org/schedules-stop-detail?stop_id=10877,0,America/New_York,1,0
